name,lang,id,n,size(B),cpu-time(s),mem(KB),status,make-time(s),elapsed-time(s),threefour(s),onetwo(s),cpu-time-mean(s),cpu-time-variance,cpu-time-sample
binarytrees,graalvmaot,2,21,558,5.230,286416896,0,96.82,5.235,0.000,0.000,0.000,0.000,1
binarytrees,graalvmaot,2,21,558,5.183,299544576,0,96.82,5.190,0.000,0.000,0.000,0.000,1
binarytrees,graalvmaot,2,21,558,5.193,299610112,0,96.82,5.199,0.000,0.000,0.000,0.000,1
binarytrees,graalvmaot,2,21,558,5.210,299536384,0,96.82,5.215,0.000,0.000,0.000,0.000,1
binarytrees,graalvmaot,2,21,558,5.392,320393216,0,96.82,5.398,0.000,0.000,0.000,0.000,1
binarytrees,graalvmaot,2,21,558,5.198,299614208,0,96.82,5.203,0.000,0.000,0.000,0.000,1
binarytrees,graalvmaot,2,21,558,5.184,299601920,0,96.82,5.190,0.000,0.000,0.000,0.000,1
binarytrees,graalvmaot,2,21,558,5.214,299606016,0,96.82,5.219,0.000,0.000,0.000,0.000,1
binarytrees,racket,4,7,861,1.810,275832832,0,0.00,2.615,0.000,0.000,0.000,0.000,1
binarytrees,racket,4,21,861,10.289,474963968,0,0.00,5.534,0.000,0.000,0.000,0.000,1
binarytrees,racket,4,21,861,9.297,471519232,0,0.00,4.810,0.000,0.000,0.000,0.000,1
binarytrees,racket,4,21,861,9.883,483999744,0,0.00,5.201,0.000,0.000,0.000,0.000,1
binarytrees,racket,4,21,861,9.741,477622272,0,0.00,5.123,0.000,0.000,0.000,0.000,1
binarytrees,racket,4,21,861,9.599,473702400,0,0.00,5.177,0.000,0.000,0.000,0.000,1
binarytrees,racket,4,21,861,10.135,486010880,0,0.00,5.467,0.000,0.000,0.000,0.000,1
binarytrees,racket,4,21,861,9.846,471171072,0,0.00,5.217,0.000,0.000,0.000,0.000,1
binarytrees,racket,4,21,861,9.912,473538560,0,0.00,5.277,0.000,0.000,0.000,0.000,1
binarytrees,racket,4,21,861,9.740,490622976,0,0.00,5.201,0.000,0.000,0.000,0.000,1
binarytrees,racket,4,21,861,9.599,471810048,0,0.00,5.102,0.000,0.000,0.000,0.000,1
binarytrees,racket,4,21,861,9.476,490459136,0,0.00,4.989,0.000,0.000,0.000,0.000,1
binarytrees,racket,4,21,861,9.468,473665536,0,0.00,5.020,0.000,0.000,0.000,0.000,1
binarytrees,go,6,21,618,29.261,416194560,0,5.43,27.930,0.000,0.000,0.000,0.000,1
binarytrees,go,6,21,618,29.313,416288768,0,5.43,27.988,0.000,0.000,0.000,0.000,1
binarytrees,go,6,21,618,29.384,416190464,0,5.43,27.990,0.000,0.000,0.000,0.000,1
binarytrees,go,6,21,618,29.534,415956992,0,5.43,28.240,0.000,0.000,0.000,0.000,1
binarytrees,go,6,21,618,29.230,416948224,0,5.43,27.947,0.000,0.000,0.000,0.000,1
binarytrees,go,6,21,618,29.640,416186368,0,5.43,28.305,0.000,0.000,0.000,0.000,1
binarytrees,go,6,21,618,29.286,416038912,0,5.43,27.981,0.000,0.000,0.000,0.000,1
binarytrees,go,6,21,618,30.155,416231424,0,5.43,28.881,0.000,0.000,0.000,0.000,1
binarytrees,go,6,21,618,29.443,416137216,0,5.43,28.148,0.000,0.000,0.000,0.000,1
binarytrees,go,6,21,618,29.464,416083968,0,5.43,28.168,0.000,0.000,0.000,0.000,1
binarytrees,go,6,21,618,29.331,416038912,0,5.43,28.007,0.000,0.000,0.000,0.000,1
binarytrees,go,6,21,618,29.622,416141312,0,5.43,28.281,0.000,0.000,0.000,0.000,1
binarytrees,icx,3,7,842,0.039,6025216,0,5.57,0.199,0.000,0.000,0.000,0.000,1
binarytrees,icx,3,21,842,6.241,138977280,0,5.57,2.065,0.000,0.000,0.000,0.000,1
binarytrees,icx,3,21,842,6.201,138977280,0,5.57,2.047,0.000,0.000,0.000,0.000,1
binarytrees,icx,3,21,842,6.216,139165696,0,5.57,2.036,0.000,0.000,0.000,0.000,1
binarytrees,icx,3,21,842,6.217,138973184,0,5.57,2.036,0.000,0.000,0.000,0.000,1
binarytrees,icx,3,21,842,6.220,138973184,0,5.57,2.046,0.000,0.000,0.000,0.000,1
binarytrees,icx,3,21,842,6.219,139423744,0,5.57,2.037,0.000,0.000,0.000,0.000,1
binarytrees,icx,3,21,842,6.247,139079680,0,5.57,2.048,0.000,0.000,0.000,0.000,1
binarytrees,icx,3,21,842,6.231,138977280,0,5.57,2.046,0.000,0.000,0.000,0.000,1
binarytrees,icx,3,21,842,6.242,139132928,0,5.57,2.069,0.000,0.000,0.000,0.000,1
binarytrees,icx,3,21,842,6.210,138977280,0,5.57,2.038,0.000,0.000,0.000,0.000,1
binarytrees,icx,3,21,842,6.237,138977280,0,5.57,2.049,0.000,0.000,0.000,0.000,1
binarytrees,icx,3,21,842,6.233,138973184,0,5.57,2.049,0.000,0.000,0.000,0.000,1
binarytrees,dartjit,3,21,1219,57.489,3010129920,0,3.41,24.990,0.000,0.000,0.000,0.000,1
binarytrees,dartjit,3,21,1219,57.453,2092806144,0,3.41,22.230,0.000,0.000,0.000,0.000,1
binarytrees,dartjit,3,21,1219,54.844,6540103680,0,3.41,21.869,0.000,0.000,0.000,0.000,1
binarytrees,dartjit,3,21,1219,56.443,2981822464,0,3.41,22.187,0.000,0.000,0.000,0.000,1
binarytrees,dartjit,3,21,1219,55.779,1941856256,0,3.41,21.745,0.000,0.000,0.000,0.000,1
binarytrees,dartjit,3,21,1219,55.593,2072154112,0,3.41,21.560,0.000,0.000,0.000,0.000,1
binarytrees,dartjit,3,21,1219,55.875,2367381504,0,3.41,21.815,0.000,0.000,0.000,0.000,1
binarytrees,dartjit,3,21,1219,55.304,4619366400,0,3.41,21.828,0.000,0.000,0.000,0.000,1
binarytrees,dartjit,3,21,1219,56.804,2077728768,0,3.41,22.002,0.000,0.000,0.000,0.000,1
binarytrees,dartjit,3,21,1219,56.628,3527143424,0,3.41,22.284,0.000,0.000,0.000,0.000,1
binarytrees,dartjit,3,21,1219,55.906,1879801856,0,3.41,21.665,0.000,0.000,0.000,0.000,1
binarytrees,dartjit,3,21,1219,59.321,4143562752,0,3.41,23.414,0.000,0.000,0.000,0.000,1
binarytrees,lua,2,21,418,141.349,982589440,0,0.00,141.974,0.000,0.000,0.000,0.000,1
binarytrees,lua,2,21,418,143.697,982589440,0,0.00,143.758,0.000,0.000,0.000,0.000,1
binarytrees,lua,2,21,418,141.744,982593536,0,0.00,141.804,0.000,0.000,0.000,0.000,1
binarytrees,lua,2,21,418,141.671,982593536,0,0.00,141.728,0.000,0.000,0.000,0.000,1
binarytrees,lua,2,21,418,141.556,982589440,0,0.00,141.618,0.000,0.000,0.000,0.000,1
binarytrees,lua,2,21,418,145.168,982589440,0,0.00,145.228,0.000,0.000,0.000,0.000,1
binarytrees,lua,2,21,418,142.707,982585344,0,0.00,142.763,0.000,0.000,0.000,0.000,1
binarytrees,lua,2,21,418,143.129,982601728,0,0.00,143.190,0.000,0.000,0.000,0.000,1
binarytrees,lua,2,21,418,143.132,982597632,0,0.00,143.187,0.000,0.000,0.000,0.000,1
binarytrees,lua,2,21,418,141.619,982585344,0,0.00,141.676,0.000,0.000,0.000,0.000,1
binarytrees,lua,2,21,418,143.646,982597632,0,0.00,143.703,0.000,0.000,0.000,0.000,1
